sample,weighted,control,phase,term,measure,coef_pct,F,p
ללא בשר ועוף,True,True,כל התקופה,ייבוא,CR3 ללא מאגדים,-0.3827288139679906,7.876756719171969,5.308342572770011e-31
ללא בשר ועוף,True,True,כל התקופה,ייבוא,CR3 עם מאגדים,-0.48080859527083647,7.759968525951247,1.502809982773042e-30
ללא בשר ועוף,True,True,כל התקופה,ייבוא,HHI,-0.5938656783837231,7.814846858754059,9.207190552208532e-31
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-0.377356611064502,2.9687072905602596,2.749178137827391e-05
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.30520803580345024,2.4378176117275947,0.0006174371886884174
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ריכוזיות,HHI,-0.3214739801603292,2.702242976675788,0.0001336191402049185
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.2968132690374275,2.939892757490541,3.266658219475909e-05
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-0.43263110698656526,3.0665349654134686,1.5272932747690723e-05
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ענקיות,HHI,-0.4558515857595665,3.0274982808745006,1.9318056734951332e-05
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ייבוא,CR3 ללא מאגדים,-0.25280135644146917,3.1585637954674075,8.760364504154678e-06
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ייבוא,CR3 עם מאגדים,-0.2172343162635686,3.122451712594102,1.0898869940966131e-05
ללא בשר ועוף,True,True,פיחות 2/22-10/23,ייבוא,HHI,-0.20893244166617278,2.992005009623036,2.390795714574148e-05
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,0.4843353802853141,3.7490277975904736,1.0837718000415783e-09
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.06551345988598213,2.7393565430228275,4.899206855248113e-06
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.8087882349463338,2.8261813578511576,2.4056397414857628e-06
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,3.142427521298108,2.460688491964816,4.6382138806873924e-05
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,3.6516405827143097,2.3006214196050654,0.0001633587695606121
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ענקיות,HHI,4.107629593427313,1.8297561979840753,0.005338317174530875
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ייבוא,CR3 ללא מאגדים,-0.4654099233030496,5.442991198376652,9.17315223158405e-16
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ייבוא,CR3 עם מאגדים,-0.6485376819118251,5.384337375904541,1.4702753286097967e-15
ללא בשר ועוף,True,True,ייסוף 11/23-7/26,ייבוא,HHI,-0.8388231926585279,5.200954064789541,6.47076469579476e-15
