ctg,dep,rev,fx_v2,fx_dom,fx_imp,imp_share,unk_share,identified,n_pairs,simple_score,complex_score
שוקולד טבלאות מאגדת,שוקולד טבלאות,914.9288155767385,35.51536033740649,34.2,46.800000000000004,9.589059885785254,0.38816309964539825,91.85479531724388,18,90.0,90.22846882279364
שטיפות פה,היגיינת הפה,301.4340975700218,33.44664367554572,21.08,37.400000000000006,71.15906119335384,2.7714109748264755,93.90711895192433,14,55.0,72.05760576641279
שיבה,עלים ותבלינים טריים,2.1351324497331543,14.866973124960312,8.84,40.8,0.0,0.0,3.642105997204942,2,15.0,15.0
שימורי דגים,שימורים,492.1847196465856,52.3006013187264,50.24999999999999,52.5,48.15440211914007,39.71031314358478,52.83689412399177,82,90.0,91.47509688611888
שימורי זיתים ירוקים/מיקס,שימורים,809.2251304537468,38.445412458896584,38.25,52.5,1.0272383256600999,10.356060822820934,74.90897061176108,31,90.0,90.02415572706427
שימורי זיתים שחורים,שימורים,152.16367222380615,40.10170753475101,38.25,52.5,11.539441761839646,4.472240738335598,88.80292487891586,23,90.0,90.2626167506012
שימורי טונה,שימורים,3099.727119710374,52.02944037972413,50.24999999999999,52.5,69.80962526672423,0.9325013100436217,88.27025543529606,40,90.0,92.0201772489121
שימורי ירקות,שימורים,1014.9284187245931,42.31771589453254,38.25,52.5,22.11180311274799,11.476451046329588,77.461947325323,53,90.0,90.7459963992944
שימורי ירקות כבושים,שימורים,147.06347917437097,42.0701597499674,38.25,52.5,19.083984467720242,17.529724314909323,71.18727918834666,37,90.0,90.46223365475944
שימורי מלפפונים,שימורים,950.615029491721,39.14420750500086,38.25,52.5,4.566433802406625,12.042690932880062,72.77022538994682,50,90.0,90.13142071705995
שימורי עגבניות,שימורים,1809.009423954602,38.59256491083792,38.25,52.5,1.966653457574026,6.939766130366874,81.80876348917434,51,90.0,90.05439669132666
שימורי פיטריות,שימורים,243.46912010554686,52.35411148353414,38.25,52.5,76.05304297604602,5.416129883763436,76.83971185805557,24,90.0,92.33219577067598
שימורי פירות וקוקטלים,שימורים,264.21745172346044,50.82251442340285,38.25,52.5,56.583665818652854,19.037653987486475,64.13333170768932,43,90.0,91.79926835187555
שמיר,עלים ותבלינים טריים,153.78297877079777,15.068303489133546,8.84,40.8,6.779564411995689,10.758666834690752,34.78874768793983,17,15.0,18.12809352848683
שמן זית,שמנים,1747.1048807579361,43.69106078661264,35.49,62.400000000000006,16.731790453684592,11.29438955532928,54.90173683917102,64,90.0,90.5362343947274
שמנים רגילים,שמנים,2748.4701966723023,61.0540414809905,60.06,62.400000000000006,26.227669000054355,9.058416958599288,61.740628166716306,91,90.0,90.67047230210036
שמפו,טיפוח השיער,1214.8625929238272,27.270845277377088,20.77,36.85,35.61777255559402,9.664802724461884,88.10143269938492,42,55.0,61.72993616431424
שמפו לגבר,טיפוח השיער,11.865248403162344,32.017261520810344,20.77,36.85,59.72409805977492,12.198482116179223,85.38642895644062,6,55.0,63.57603739881844
שמפו+מרכך,טיפוח השיער,37.1843262788999,34.32650652576079,20.77,36.85,77.67435449034565,3.6913320001184267,92.13314786013163,9,55.0,73.0249747768312
שמפו/מרכך לילדים,טיפוח השיער,160.04294199394744,21.431647193544734,20.77,36.85,3.532658720387182,3.1487195198694016,85.85414217431423,11,55.0,55.57240591011642
שניצל  מן הצומח,מזון מוכן קפוא מן הצומח,633.040936244708,41.91904512974833,35.64,46.800000000000004,53.78407546871107,0.44395834615964597,95.59260521748679,11,55.0,68.03715082167567
תבלינים במיכל,תבלינים,675.5501241013059,37.46712155796448,34.65,47.6,14.853746940214204,20.099798703890414,68.28105174657802,41,90.0,90.4547256230731
תבלינים בשקית,תבלינים,290.1277262233224,38.73037511558702,34.65,47.6,22.76028165742518,8.53580195273284,72.23493897355877,24,90.0,90.71034051785638
תבלינים ורטבים קפואים,ירקות ופירות קפואים,186.5029863522706,49.33659013543944,27.192500000000003,51.099999999999994,77.38370931663373,1.4030936117101647,83.54603956053252,12,55.0,72.95393131685431
תה אדום,תה,0.5592561456523323,27.72,27.72,44.64,0.0,0.0,100.0,1,90.0,90.0
תה אריזת שי,תה,2.2027779993604906,43.19322843858419,27.72,44.64,44.3864031025767,51.46339734616388,48.536602653836106,5,90.0,90.0
תה בריאות,תה,8.112483411133434,28.106239866125513,27.72,44.64,0.0,100.0,0.0,2,90.0,90.00000000000001
תה בתפזורת,תה,9.798037367446632,28.595641126763564,27.72,44.64,4.898989854390897,2.015644146314853,94.66310546954894,6,90.0,90.0196306626408
תה ירוק,תה,400.68975865556337,28.056526815592033,27.72,44.64,1.737731314231104,7.184580667424199,87.37019599779778,22,90.0,89.99999999999999
תה פירות,תה,4.306440687695534,27.874722367392582,27.72,44.64,0.0,67.73854617513892,15.737857787117214,11,90.0,89.99999999999999
תה פרימיום,תה,1.863721681043335,28.106239866125513,27.72,44.64,0.0,100.0,0.0,1,90.0,90.0
תה קר,משקאות לא אלכוהולים,710.8758429117539,17.23649881377541,16.38,46.800000000000004,2.803421224485328,0.19464500397502432,99.56823322723861,11,90.0,90.07444266535228
תה שחור בטעמים,תה,160.08380798436525,28.92156307813525,27.72,44.64,5.9022348195675205,13.294303611339977,83.11325053535049,18,90.0,90.0000675431061
תה שחור טהור,תה,153.9352779632164,27.72668377946056,27.72,44.64,0.03598093647984986,6.717978729962433,91.0858068899086,22,90.0,90.00092975463349
תחליף קפה,קפה/קקאו,6.82424067027269,38.5921073625518,37.44,46.800000000000004,10.424634019450668,15.307741627533545,84.69225837246644,5,90.0,90.35514774615216
תחליפי חלב אם חלבי,מזון תינוקות/ילדים,2565.6768540872113,43.199999999999996,9.792000000000002,43.199999999999996,100.0,0.0,100.0,3,55.0,79.0
תחליפי חלב אם צמחי,מזון תינוקות/ילדים,123.96544961180732,43.199999999999996,9.792000000000002,43.199999999999996,100.0,0.0,100.0,2,55.0,79.0
תחליפי חלב וטופו,מוצרי חלב ותחליפיו,799.4133443244816,12.446613925286817,10.200000000000001,48.75,4.506108462486663,17.730107753561924,77.3210204359808,34,55.0,55.968041839293285
תחליפי לחם,לחם ותחליפיו,1826.4566238477298,32.78239437901061,30.187499999999996,48.75,9.76908140975387,15.769927639882898,69.88283420525855,94,30.0,33.62825224133421
תכשיר הגנה מהשמש לפנים,מוצרי שיזוף והגנה מהשמש,90.2974669351467,22.6873061376285,21.775000000000002,36.85,4.8118860396533,1.192929231034595,79.51188647742286,12,55.0,55.0
