mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
"שדות תוצרת אורגנית בע""מ",לחם ארוז מיוחד,לחם ותחליפיו,0.44436115607203885,0.35,0.95,0.25,0.65,UNK,0.40249999999999997,,0.65,0.4285849459982874,0.8345651763064146,42.85849459982874
שסטוביץ,תחליפי לחם,לחם ותחליפיו,2.7490260246083333,0.35,0.95,0.25,0.65,IMP,0.40249999999999997,TRADER,0.77,0.77,0.6988283420525856,77.0
שקדיה,עוגיות בייסיק,מאפים מתוקים ומלוחים,0.9710822627607179,0.45,0.8,0.27,0.68,IMP,0.43000000000000005,BRAND,0.5800000000000001,0.5800000000000001,0.5661102766065896,58.00000000000001
"תומר בע""מ",עוגיות בייסיק,מאפים מתוקים ומלוחים,0.03370922081016,0.45,0.8,0.27,0.68,IMP,0.43000000000000005,MIXED,0.68,0.68,0.5661102766065896,68.0
בון בון,עוגיות פרימיום,מאפים מתוקים ומלוחים,0.4670505513718675,0.45,0.8,0.27,0.68,UNK,0.43000000000000005,,0.68,0.5276485639268795,0.9061470413787233,52.76485639268795
אם החיטה,פתי בר,מאפים מתוקים ומלוחים,0.5785344768001222,0.45,0.8,0.27,0.68,DOM,0.43000000000000005,,0.68,0.43000000000000005,0.7580039529026913,43.00000000000001
יצרן לא ידוע,סכיני/מכשיר גילוח גברים,מוצרי גילוח,0.015458907672336843,0.35,0.85,0.32,0.55,BUCKET,0.3675,,0.55,0.45308300334295787,0.9335582057940999,45.30830033429579
מעדני מזל,סלטי ירקות,סלטים ארוזים,0.006568273810843562,0.5,0.45,0.28,0.65,UNK,0.29500000000000004,,0.65,0.3731912967335456,0.7036106211527218,37.31912967335456
ליימן שליסל,תבלינים במיכל,תבלינים,0.0917715732196,0.5,0.85,0.3,0.68,IMP,0.495,TRADER,0.8,0.8,0.6828105174657801,80.0
שקדיה,וופלים,מאפים מתוקים ומלוחים,0.032358942,0.45,0.8,0.27,0.68,IMP,0.43000000000000005,BRAND,0.5800000000000001,0.5800000000000001,0.7976932062103492,58.00000000000001
