sample,weighted,spec,term,phase,b,se,pc,F,pj
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ריכוזיות,לפני 2025,0.4018371199380099,0.7194757485020877,0.5764935974216885,3.0435098172961847,1.733144505727379e-07
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ריכוזיות,מ־2025 ואילך,0.20842040915826426,0.6517629876783101,0.7491355274822191,2.7244528088427105,0.000276304554891192
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ייבוא,כל התקופה,1.2102257977402848,0.4245093854621909,0.004359826464945128,8.159229353863738,5.03600419969309e-32
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ייבוא,לפני 2025,1.727822419906766,0.6082792298686772,0.004504165005788154,3.9798076633858153,4.3492180439350696e-11
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ייבוא,מ־2025 ואילך,0.17503255340732224,0.409126111318346,0.6687817823737188,4.1153259902678165,1.4618654614057365e-07
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ענקיות,כל התקופה,-0.9534067483389327,0.8283628399078197,0.24975154566129254,5.905630705942631,7.104011578665293e-23
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ענקיות,לפני 2025,-2.1353799338184034,1.161216961333816,0.06592760742496885,5.0729126804814255,3.1837552878627695e-15
"ללא בשר, עוף וחלב",True,עם ענקית ≥20%,ענקיות,מ־2025 ואילך,1.4105396226200082,1.0636817192394123,0.18480928665433116,1.9877618213618464,0.01090229656076967
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ריכוזיות,כל התקופה,0.23813226524627348,0.5499961649041853,0.6650360022037001,4.1179873924043715,1.1524593720074764e-14
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ריכוזיות,לפני 2025,0.12485872593876801,0.6568730041013848,0.8492460778287503,3.015799196039899,2.2113759209565893e-07
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ריכוזיות,מ־2025 ואילך,0.4646793438612844,0.6789976428573571,0.49374738720280376,2.3922340250035172,0.001523471470316226
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ייבוא,כל התקופה,1.2197919420930923,0.3837129205265868,0.0014782586140659698,7.740507183033764,2.019940108364861e-30
