yr,ctg,rev,n_named,bucket_pct,cr3
2025,סוכריות מרעננות,33.56,8,0.35,97.23
2025,סלרי ראש,6.33,10,3.62,78.05
2025,תרד,13.08,16,32.37,45.71
2025,קפה אספרסו,224.11,21,10.23,72.68
2025,טבלאות שוקולד מריר בודד,206.89,40,7.47,75.59
2025,שוקולד טבלאות מאגדת,250.19,9,2.62,93.47
2025,נוזל כלים,196.3,22,18.75,68.91
2025,חליטות פירות וצמחים,90.41,28,6.54,85.83
2025,תה ירוק,84.44,21,23.36,67.52
2022,חמאה,324.06,17,3.07,84.32
2022,מיכלי שמנת מתוקה,375.7,11,2.57,92.49
2022,שניצל  מן הצומח,136.0,6,4.95,94.29
2022,מסטיקים עם סוכר,6.46,8,,80.51
2022,גבינות צהובות במשקל,436.08,11,8.49,85.85
2022,משקאות וודקה,151.64,19,40.2,40.21
2022,תכשירי ניקוי שטיחים,7.64,5,,83.75
2022,תכשירים לפתיחת סתימות,10.7,3,10.79,89.21
2022,לקקנים,25.22,21,3.25,81.49
