yr,ctg,rev,n_named,bucket_pct,cr3
2025,בירה ללא אלכוהול,6.21,7,,87.7
2024,שוקו,92.08,25,7.96,87.61
2025,חלקי עוף/הודו מתובל טרי ארוז,2.9,0,100.0,0.0
2024,נתחים קדמי מופשר,59.16,4,76.67,21.5
2023,חטיפים,1570.98,71,1.46,87.66
2023,קרקרים,204.78,23,4.66,88.54
2023,קציצות מן הצומח,47.34,10,2.52,84.24
2023,נקניקים יבשים,84.23,9,7.93,87.52
2023,חמאה מעדניה,1.87,4,,98.25
2023,שמיר,31.75,26,21.03,34.66
2023,חרדל,35.71,20,6.2,75.78
2023,סילאן,43.03,17,25.41,45.91
2023,חומרים למדיח,168.75,14,2.1,96.03
2023,שימורי מלפפונים,196.55,37,18.96,62.5
2023,מסירי כתמים,114.15,8,14.15,82.81
2023,תכשירי טיפוח וניקוי תינוקות,110.25,25,47.54,23.8
2023,תכשירי הגנה מהשמש לילדים,18.14,7,14.29,84.79
2024,דג מעושן כבוש ארוז,160.51,21,1.76,70.11
2024,מזון תינוקות/ילדים אחר,46.38,18,42.51,37.31
2024,עלים לבישול אחרים,0.52,3,,100.0
2024,דגי פילה טריים,247.82,9,57.81,40.94
2024,דגים טריים סטנדרט,54.99,8,38.73,54.63
2024,תה אריזת שי,0.55,3,,100.0
2024,אביזרי טיפול לתינוק,3.97,10,12.66,52.45
2023,פופ קורן למיקרו,52.53,4,11.14,88.69
2023,חלקים ללא סיווג מופשר,9.65,2,62.9,37.1
2022,שימורי טונה,622.39,30,9.11,71.32
2022,אבקות תה,0.25,1,,100.0
2022,קוסקוס,61.38,15,12.11,69.79
2022,בירה לבנה בודד,218.2,57,1.94,57.96
2022,דג במגש/קרטונית,2.66,6,,89.14
2022,חטיפי חלבון,87.16,19,27.23,47.13
2022,שמפו/מרכך לילדים,36.05,8,13.99,73.02
2022,לחם ארוז מיוחד,530.48,70,3.37,71.06
2022,גבינות מלוחות מדף,378.66,19,2.28,86.32
2026,קוסקוס,33.88,19,14.02,75.17
2026,חטיפי חלבון,87.89,16,13.58,61.16
2026,יין לבן,95.87,21,6.1,64.31
2026,וופלים,185.65,37,16.76,57.79
2026,מוצרי אפטר שייב,2.75,4,17.68,79.21
2026,סכיני/מכשיר גילוח נשים,34.77,5,18.01,81.62
2026,גבינות מלוחות מדף,289.45,19,1.05,86.84
2026,גבינות שמנת,181.61,14,0.44,80.39
2026,נייר טואלט,444.67,25,38.71,54.49
2026,פסטרמות ונקניקים ארוזים,310.65,13,4.73,82.91
2026,כריכים,30.5,4,0.16,97.69
2026,משקאות וויסקי,160.66,12,15.89,68.33
2026,מים בבקבוק,392.58,12,1.14,98.12
2026,מיץ טבעי סחוט מקורר,112.91,6,1.09,97.56
2026,משקה מוגז עדין בטעמים,20.18,1,,100.0
2026,סבון נוזלי לידיים/משאבה,51.97,17,33.69,48.38
2026,סוכריות אחרות,7.5,14,10.02,72.49
2026,חלקי פנים עוף/הודו טרי ארוז,28.37,12,23.59,47.22
2026,חומץ/מיץ לימון,61.67,40,7.81,72.75
2026,שימורי טונה,425.09,27,20.92,56.27
2026,תבלינים במיכל,108.17,21,14.72,60.22
2026,בשר כבש טרי,26.42,9,52.04,37.07
2026,מסירי אבנית וניקוי מכונות כביסה,3.8,3,,100.0
2023,בעלי כנף טריים,1.04,0,100.0,0.0
2026,מרגרינה,38.81,4,,99.54
2024,דגנים מיוחדים,102.98,37,17.26,48.22
2024,חטיפים,1678.59,69,1.6,87.27
2024,שמפו,262.74,23,1.68,77.74
2024,לחמניות ארוזות,258.07,43,7.67,54.93
2024,בצקים קפואים,135.66,37,18.2,59.53
2024,גבינות לבנות,510.35,13,0.04,98.6
2024,יוגורט חלבון,361.75,3,,100.0
2024,מיץ 100% ירק,4.88,4,0.34,94.7
2024,סלט טחינה,49.15,9,6.15,85.73
2024,סלטי דגים,25.03,10,6.61,87.04
2024,שימורי דגים,104.54,52,11.88,31.05
2024,שמן זית,448.48,42,38.71,25.05
2025,חיתולים,747.77,4,6.0,94.0
2025,כלים חד פעמים,630.71,125,33.33,44.04
2025,חטיפים מתוקים,809.23,42,0.42,80.26
2025,גלידות חבילות בית,331.53,11,0.1,87.82
2025,דג גלם בשקית,59.61,20,10.01,71.95
2025,תחליפי לחם,428.07,67,19.38,44.15
2025,גבינות רכות מעדניה,22.64,7,29.92,59.08
2025,משקאות ברנדי/קוניאק,16.56,14,0.54,58.53
2025,משקאות קלים,372.12,32,0.89,94.31
2025,סבון רחצה לגבר,50.94,12,3.23,79.83
2025,סוכריות גומי,96.47,32,18.28,54.66
